request,time
0,96379.0
1,35426.0
2,12371.0
3,26518.0
4,21474.0
5,11308.0
6,2116.0
7,1078.0
8,3111.0
9,1820.0
10,2473.0
11,2094.0
12,3494.0
13,1477.0
14,27975.0
15,3516.0
16,933.0
17,5764.0
18,957.0
19,6854.0
20,1426.0
21,1123.0
22,1632.0
23,2153.0
24,1414.0
25,3769.0
26,1408.0
27,2560.0
28,1784.0
29,2354.0
30,1179.0
31,2491.0
32,3007.0
33,958.0
34,1994.0
35,1705.0
36,3439.0
37,1497.0
38,1676.0
39,887.0
40,976.0
41,3586.0
42,22961.0
43,1252.0
44,916.0
45,4712.0
46,941.0
47,1431.0
48,1773.0
49,980.0
50,1738.0
51,9838.0
52,2585.0
53,1258.0
54,2542.0
55,1327.0
56,1646.0
57,2106.0
58,886.0
59,821.0
60,896.0
61,889.0
62,1417.0
63,6648.0
64,1003.0
65,779.0
66,1808.0
67,951.0
68,2728.0
69,862.0
70,908.0
71,871.0
72,1205.0
73,5024.0
74,6801.0
75,3687.0
76,4589.0
77,823.0
78,2421.0
79,2945.0
80,1610.0
81,877.0
82,1747.0
83,1425.0
84,8482.0
85,7249.0
86,933.0
87,772.0
88,1154.0
89,814.0
90,846.0
91,858.0
92,886.0
93,831.0
94,807.0
95,3430.0
96,945.0
97,1436.0
98,1810.0
99,727.0
100,780.0
101,687.0
102,4439.0
103,2442.0
104,3541.0
105,1494.0
106,863.0
107,5762.0
108,834.0
109,1121.0
110,840.0
111,797.0
112,750.0
113,3392.0
114,842.0
115,778.0
116,1219.0
117,837.0
118,1507.0
119,784.0
120,1163.0
121,956.0
122,858.0
123,1383.0
124,1418.0
125,822.0
126,11630.0
127,10575.0
128,952.0
129,1287.0
130,749.0
131,732.0
132,744.0
133,1565.0
134,844.0
135,788.0
136,1940.0
137,4222.0
138,871.0
139,877.0
140,765.0
141,755.0
142,1183.0
143,3189.0
144,776.0
145,728.0
146,826.0
147,771.0
148,1255.0
149,768.0
150,697.0
151,772.0
152,743.0
153,750.0
154,728.0
155,819.0
156,731.0
157,796.0
158,729.0
159,672.0
160,710.0
161,733.0
162,1246.0
163,819.0
164,733.0
165,768.0
166,3047.0
167,1517.0
168,726.0
169,1290.0
170,1425.0
171,759.0
172,1378.0
173,691.0
174,13079.0
175,642.0
176,1238.0
177,656.0
178,579.0
179,3567.0
180,635.0
181,586.0
182,613.0
183,610.0
184,2621.0
185,1515.0
186,653.0
187,604.0
188,647.0
189,609.0
190,668.0
191,4811.0
192,1401.0
193,4426.0
194,777.0
195,600.0
196,625.0
197,719.0
198,602.0
199,5957.0
200,1298.0
201,3134.0
202,1776.0
203,703.0
204,587.0
205,954.0
206,30581.0
207,5355.0
208,8359.0
209,2249.0
210,2273.0
211,3309.0
212,1624.0
213,704.0
214,617.0
215,30012.0
216,725.0
217,585.0
218,567.0
219,542.0
220,911.0
221,545.0
222,597.0
223,640.0
224,622.0
225,571.0
226,555.0
227,516.0
228,538.0
229,566.0
230,573.0
231,540.0
232,530.0
233,1177.0
234,616.0
235,573.0
236,571.0
237,593.0
238,623.0
239,573.0
240,499.0
241,509.0
242,486.0
243,1158.0
244,523.0
245,792.0
246,497.0
247,520.0
248,522.0
249,499.0
250,499.0
251,822.0
252,518.0
253,1633.0
254,2803.0
255,12450.0
256,877.0
257,643.0
258,581.0
259,594.0
260,570.0
261,602.0
262,562.0
263,584.0
264,555.0
265,549.0
266,533.0
267,530.0
268,517.0
269,551.0
270,566.0
271,1472.0
272,651.0
273,624.0
274,606.0
275,1908.0
276,758.0
277,593.0
278,572.0
279,603.0
280,662.0
281,562.0
282,510.0
283,581.0
284,546.0
285,563.0
286,577.0
287,539.0
288,535.0
289,495.0
290,543.0
291,537.0
292,609.0
293,547.0
294,574.0
295,390216.0
296,744.0
297,961.0
298,1230.0
299,559.0
300,552.0
301,523.0
302,536.0
303,518.0
304,516.0
305,510.0
306,500.0
307,496.0
308,504.0
309,1621.0
310,577.0
311,2316.0
312,556.0
313,545.0
314,610.0
315,563.0
316,536.0
317,574.0
318,552.0
319,15264.0
320,665.0
321,570.0
322,547.0
323,498.0
324,576.0
325,543.0
326,576.0
327,515.0
328,1388.0
329,531.0
330,605.0
331,574.0
332,560.0
333,637.0
334,3891.0
335,615.0
336,627.0
337,1835.0
338,5998.0
339,4690.0
340,730.0
341,586.0
342,594.0
343,645.0
344,565.0
345,555.0
346,542.0
347,503.0
348,586.0
349,540.0
350,555.0
351,483.0
352,455.0
353,490.0
354,482.0
355,485.0
356,466.0
357,473.0
358,475.0
359,518.0
360,1641.0
361,514.0
362,486.0
363,496.0
364,504.0
365,3307.0
366,586.0
367,462.0
368,490.0
369,512.0
370,523.0
371,514.0
372,879.0
373,515.0
374,483.0
375,547.0
376,505.0
377,510.0
378,512.0
379,490.0
380,594.0
381,4151.0
382,6867.0
383,579.0
384,663.0
385,498.0
386,492.0
387,475.0
388,460.0
389,458.0
390,489.0
391,501.0
392,474.0
393,459.0
394,2116.0
395,547.0
396,506.0
397,540.0
398,491.0
399,483.0
400,573.0
401,498.0
402,485.0
403,515.0
404,509.0
405,551.0
406,519.0
407,520.0
408,558.0
409,478.0
410,3243.0
411,522.0
412,458.0
413,40474.0
414,586.0
415,451.0
416,429.0
417,420.0
418,377.0
419,445.0
420,443.0
421,421.0
422,441.0
423,433.0
424,435.0
425,479.0
426,418.0
427,437.0
428,1255.0
