request,time
0,16266
1,7857
2,15809
3,7689
4,8882
5,15263
6,8410
7,8907
8,9887
9,7140
10,11773
11,8148
12,8980
13,16497
14,9541
15,12521
16,6539
17,7281
18,6972
19,18473
20,10083
21,27160
22,9770
23,16474
24,6920
25,12116
26,11712
27,8829
28,8254
29,9594
30,7995
31,10469
32,7570
33,21118
34,15991
35,21564
36,9935
37,9907
38,7048
39,9246
40,7009
41,22689
42,7260
43,15187
44,31400
45,9143
46,10604
47,9763
48,7726
49,13877
50,12081
51,27786
52,9003
53,16602
54,8545
55,9309
56,8541
57,15600
58,9462
59,17007
60,9221
61,8925
62,9707
63,15913
64,17646
65,8022
66,14354
67,8193
68,9174
69,48660
70,8572
71,13411
72,7020
73,8799
74,7867
75,7566
76,17899
77,9249
78,8539
79,17305
80,7677
81,12436
82,6888
83,9301
84,12313
85,9268
86,12577
87,9926
88,11480
89,7787
90,10138
91,13346
92,17614
93,8674
94,17618
95,11528
96,13017
97,17157
98,9510
99,17948
100,8476
101,13421
102,10032
103,22679
104,10221
105,8728
106,16158
107,9572
108,11271
109,9775
110,14777
111,15463
112,14975
113,16711
114,13679
115,8238
116,8707
117,8230
118,23711
119,21181
120,9470
121,17822
122,8880
123,9930
124,18097
125,8215
126,11232
127,16291
128,18162
129,8616
130,9751
131,11829
132,8960
133,22253
134,18687
135,17835
136,13883
137,9069
138,12624
139,8925
140,10700
141,9511
142,10740
143,17983
144,9257
145,14797
146,11941
147,9157
148,16665
149,10677
150,10024
151,10647
152,9550
153,25558
154,18978
155,25993
156,10070
157,12442
158,10380
159,9282
160,19530
161,8456
162,13577
163,10195
164,10541
165,15249
166,9822
167,10802
168,10504
169,13275
170,7795
171,9321
172,12218
173,16218
174,8453
175,9915
176,10382
177,10497
178,8180
179,9153
180,9848
181,9691
182,12331
183,10379
184,38925
185,8333
186,10700
187,8857
188,13532
189,14647
190,9409
191,7407
192,8553
193,8326
194,9315
195,8840
196,10677
197,9091
198,9068
199,23096
200,9562
201,9685
202,9008
203,8880
204,14630
205,9292
206,9340
207,8956
208,9327
209,9060
210,15548
211,9437
212,8525
213,12135
214,8583
215,8486
216,9178
217,8669
218,8687
219,14636
220,8764
221,8213
222,12987
223,15184
224,8773
225,8781
226,8093
227,9420
228,9511
229,9019
230,14212
231,8367
232,10257
233,8382
234,7636
235,8870
236,8445
237,7545
238,8942
239,8664
240,12412
241,9239
242,8195
243,8882
244,11972
245,10644
246,7948
